"","gender","age","trust_politicians","vote","freedom","satisfied_democracy"
"210",1,88,7,1,3,8
"211",1,28,7,1,1,9
"212",1,40,0,1,2,4
"213",1,42,1,2,2,5
"214",2,62,1,2,2,4
"215",2,61,5,1,3,5
"216",2,48,6,1,1,5
"217",1,34,7,1,2,7
"218",2,30,6,1,2,7
"219",1,44,7,1,2,8
"220",2,36,7,2,1,8
"221",1,57,6,1,2,9
"222",1,17,5,NA,3,9
"223",1,85,3,1,2,5
"224",2,26,3,1,4,3
"225",1,66,2,1,2,3
"226",1,54,5,1,2,9
"227",1,66,6,1,4,8
"228",2,28,5,2,1,7
"229",1,49,4,1,1,8
"230",1,49,5,1,3,9
"231",1,40,7,1,2,8
"232",2,73,4,1,2,6
"233",1,56,6,1,1,9
"234",1,67,6,1,2,8
"235",1,43,6,1,2,6
"236",2,56,5,1,2,7
"237",2,68,5,1,2,8
"238",1,27,5,1,4,8
"239",2,47,4,1,4,6
"240",2,56,5,1,2,5
"241",2,51,6,1,2,7
"242",1,16,6,NA,1,9
"243",2,84,7,1,2,8
"244",1,22,5,1,1,8
"245",1,61,7,1,2,8
"246",2,48,8,NA,1,9
"247",2,64,5,1,3,7
"248",1,53,4,1,1,9
"249",1,29,5,NA,3,NA
"250",1,53,7,1,1,7
"251",1,47,2,1,3,6
"252",1,51,10,1,2,9
"253",2,36,6,1,1,6
"254",2,20,6,NA,2,8
"255",2,27,7,1,5,9
"256",1,71,7,2,2,9
"257",1,58,4,1,2,4
"258",2,65,6,1,2,7
"259",2,62,5,1,2,8
"260",1,51,4,1,1,7
"261",2,28,6,1,5,10
"262",1,68,7,1,2,9
"263",2,47,3,1,3,2
"264",1,19,7,NA,3,8
"265",1,17,8,NA,1,10
"266",2,35,2,1,2,8
"267",1,46,7,1,1,7
"268",2,64,4,2,1,5
"269",2,82,4,1,4,3
"270",2,50,1,1,1,5
"271",2,70,3,1,1,7
"272",1,74,5,1,2,9
"273",1,43,6,1,4,9
"274",2,16,5,2,5,NA
"275",2,86,4,1,3,5
"276",1,49,8,2,1,7
"277",2,83,2,1,1,5
"278",1,31,8,1,2,9
"279",2,31,5,1,5,7
"280",1,35,1,1,3,6
"281",2,66,6,1,1,10
"282",2,20,7,2,1,7
"283",1,85,5,1,1,8
"284",1,68,5,1,3,6
"285",1,20,3,2,1,8
"286",2,31,6,1,3,9
"287",1,32,2,2,2,5
"288",1,63,3,1,2,9
"289",2,27,8,1,4,10
"290",1,64,2,1,1,1
"291",2,64,7,1,1,7
"292",1,52,4,1,2,4
"293",2,38,6,1,5,8
"294",1,17,7,NA,1,8
"295",1,71,7,1,2,7
"296",1,79,5,1,2,6
"297",2,27,3,1,3,6
"298",1,48,8,1,5,8
"299",1,57,1,NA,3,6
"300",1,60,5,1,2,8
"301",2,48,5,1,3,5
"302",2,17,7,NA,2,7
"303",1,64,8,2,2,8
"304",1,27,2,1,1,9
"305",2,52,6,1,4,9
"306",2,20,7,NA,1,7
"307",2,53,5,1,5,7
"308",1,49,8,1,3,9
"309",1,40,5,1,3,5
"310",1,64,6,1,2,7
"311",1,44,9,1,4,10
"312",2,57,7,1,1,9
"313",2,41,5,1,4,8
"314",2,38,7,NA,2,9
"315",1,64,7,1,5,8
"316",2,52,5,1,2,6
"317",1,34,6,1,1,9
"318",1,37,6,1,1,7
"319",1,56,6,1,2,8
"320",1,42,3,2,2,8
"321",1,21,7,1,3,8
"322",1,29,5,1,2,8
"323",2,39,5,1,2,5
"324",1,21,4,2,2,8
"325",1,85,5,1,2,7
"326",2,59,7,1,4,8
"327",2,28,3,1,2,7
"328",2,44,7,1,1,9
"329",2,27,7,1,4,9
"330",1,58,7,1,5,9
"331",1,46,5,1,1,8
"332",2,49,6,NA,2,5
"333",1,25,0,2,5,8
"334",2,58,5,1,1,7
"335",2,25,5,1,2,7
"336",2,24,8,2,4,10
"337",2,35,5,2,3,9
"338",2,59,3,1,4,8
"339",1,69,7,1,2,8
"340",2,28,5,1,2,6
"341",2,62,5,1,3,7
"342",1,29,8,NA,1,8
"343",2,52,6,1,2,7
"344",2,17,3,NA,3,6
"345",1,19,7,1,1,9
"346",2,61,9,1,2,10
"347",1,37,4,2,1,7
"348",1,46,3,1,2,7
"349",2,35,6,1,2,8
"350",1,87,5,1,4,7
"351",2,52,6,1,4,8
"352",2,71,8,1,4,8
"353",2,51,7,1,2,9
"354",1,82,6,1,4,9
"355",2,64,7,1,3,8
"356",2,48,4,2,1,6
"357",1,61,5,1,2,7
"358",2,49,8,1,2,6
"359",1,54,1,1,4,9
"360",1,36,5,2,2,7
"361",2,18,3,NA,2,8
"362",1,63,4,2,4,5
"363",1,53,6,1,4,8
"364",1,55,6,1,5,6
"365",1,44,6,1,2,7
"366",1,51,5,1,2,7
"367",2,51,3,1,1,5
"368",2,52,7,1,4,9
"369",1,41,6,1,1,8
"370",2,34,5,1,5,8
"371",2,23,5,1,1,10
"372",2,38,0,2,1,5
"373",2,38,7,1,1,7
"374",2,89,0,1,NA,5
"375",1,51,6,1,1,9
"376",1,57,6,1,5,8
"377",1,26,7,1,2,10
"378",1,54,4,1,3,6
"379",2,70,5,1,4,8
"380",2,59,7,1,2,8
"381",2,68,5,1,5,9
"382",1,72,8,1,1,7
"383",1,43,2,1,4,0
"384",1,29,5,1,2,6
"385",1,21,2,1,1,10
"386",2,21,5,1,2,4
"387",2,69,5,1,3,8
